,0
0,21359.4703
1,20692.3112
2,23024.6553
3,21824.4949
4,21959.7248
5,23273.5034
6,22020.0777
7,20408.3626
8,20593.8213
9,20030.1176
10,18739.0591
11,18806.2526
12,18401.9727
13,18369.4513
14,18917.7344
15,18479.4052
16,18079.5079
17,16830.9634
18,18341.0196
19,17863.0593
20,16860.5715
21,16073.0582
22,17431.38
23,18532.2152
24,18105.8384
25,16210.5262
26,16592.9054
27,19337.3762
28,18452.2637
29,18100.5915
30,18710.2445
31,19038.6262
32,18808.9235
33,19426.9714
34,20170.8711
35,18747.8351
36,19675.3473
37,19469.2112
38,18580.7189
39,19503.2641
40,19690.0802
41,17933.8131
42,17804.4849
43,17583.648
44,20794.4915
45,19916.019
46,19431.1978
47,18770.1361
48,18990.3353
49,19773.9897
50,19369.5974
51,20158.457
52,20336.0093
53,19172.6084
54,20035.4204
55,20487.1727
56,19111.6206
57,20163.088
58,19977.756
59,19241.2575
60,19532.6453
61,19485.155
62,17366.5632
63,20556.8069
64,20414.5236
65,19998.0797
66,20369.1096
67,21745.7435
68,20636.6005
69,20247.2763
70,19663.6585
71,17335.0842
72,20010.1486
73,18881.4596
74,18965.4305
75,19068.3475
76,18733.4542
77,17844.0292
78,18487.1075
79,19283.1507
80,18849.5994
81,18784.1773
82,18728.1407
83,18012.9711
84,17223.0626
85,16136.1454
86,16942.6162
87,16676.1631
88,16286.9387
89,14885.5262
90,15883.3716
91,15696.848
92,16396.7114
93,15606.6488
94,15129.8976
95,16539.9643
96,18075.0316
97,16922.2772
98,17077.8229
99,17047.956
100,17090.3933
101,15465.7836
102,15408.1751
103,14874.0493
104,16340.9635
105,16366.0551
106,16035.2749
107,17322.5704
108,16525.5926
109,16690.2065
110,15735.7253
111,16518.5047
112,17251.3245
113,16643.9319
114,15009.6046
115,16227.2414
116,15622.6311
117,15297.5944
118,16475.6105
119,16357.9562
120,15454.2438
121,16193.2399
122,16860.1259
123,15055.3328
124,15434.5095
125,16621.963
126,17779.069
127,16284.197
128,15158.5869
129,16383.1262
130,16252.606
131,15480.8885
132,15668.6247
133,15972.6475
134,16910.6996
135,16092.7235
136,15874.699
137,16232.4005
138,16014.3173
139,15128.8362
140,15134.7182
141,15272.1541
142,14660.2435
143,14525.258
144,15382.4514
145,15175.2113
146,19219.4559
147,22473.8306
148,22740.2111
149,20746.1
150,21430.7175
151,21253.5225
152,21158.8383
153,21620.0585
154,21735.5521
155,21225.3967
156,21908.2219
157,22871.6452
158,22705.0593
159,23156.0668
160,23251.6943
161,23161.6304
162,22682.8209
163,22304.183
164,22592.6041
165,21229.7516
166,23947.9798
167,24359.1003
168,21227.1424
169,21226.2727
170,21225.403
171,24983.1758
172,23737.2695
173,21222.7938
174,21221.9241
175,24129.3661
176,21220.1846
177,21219.3149
178,21218.4452
179,21217.5754
180,23967.5519
181,24949.7552
182,24438.7695
183,23045.5845
184,22954.9226
185,24159.972
186,22417.828
187,21210.6176
188,21209.7479
189,21208.8781
190,21208.0084
191,21207.1387
192,22904.5549
193,17512.9097
194,18154.0535
195,18971.6685
196,20788.4355
197,20777.3569
198,17902.3668
199,17912.6363
200,18943.2276
201,18980.5917
202,17731.8159
203,16844.1077
204,17938.6508
205,18505.8202
206,19002.1992
207,18172.5285
208,18746.1036
209,18604.9333
210,19525.6221
211,18717.6578
212,19008.9952
213,18539.1516
214,18019.2786
215,17754.3749
216,18856.4946
217,18528.3638
218,18432.7968
219,18021.2574
220,16812.8368
221,17566.943
222,17653.9717
223,16294.4722
224,16042.8442
225,17056.4153
226,17711.5836
227,16352.8215
228,17903.7885
229,19335.4248
230,21173.2193
231,21172.3495
232,21171.4798
233,21170.6101
